Title,Author,Series,Romance.io Rating,# of Ratings,# of Reviews,Release Day/Month,Release Year,Release Date,Story Length,Page Count,Priority,Priority #,Contemporary,Futuristic,Historical,Ancient Times,Medieval,Tudors & Stuarts,Georgian,Regency,Victorian,Western Frontier,American Civil War,20th Century,Dark Romance,Young Adult,New Adult,Mystery,Suspense,Dystopian,Funny,Angst,Horror,Fantasy,High Fantasy,Urban Fantasy,Steampunk,Paranormal,Magic,Time Travel,Angels,Demons,Fae,Monsters,Shapeshifters,Werewolves,Dragon Shifter,Bear Shifter,Lion Shifter,Tiger Shifter,Vampires,Witches,Science Fiction,Aliens,M-F Romance,Gay Romance,Lesbian Romance,Non-Binary Romance,Older/Mature,Childfree,Queer Romance,Queer Awakening,Bisexuality,Age Gap,Boss & Employee,Class Difference,Grumpy & Sunshine,Height Difference,Multicultural,Arranged/Forced Marriage,Caretaking,Enemies To Lovers,Fake Relationship,Fated Mates,Forbidden Love,Forced Proximity,Friends To Lovers,Good Grovel,Hurt/Comfort,Insta-Love,Marriage Of Convenience,Other Man/Woman,Love Triangle,Cheating,Pregnancy,Second Chances,Secret Child,Secret Relationship,Sibling's Best Friend,Slow Burn,Abduction,Betrayal,Christmas,Disabilities & Scars,Found Family,Mafia,Military,Neurodivergent MC,Political/Court Ingtrigue,Slavery,Superheroes,Survival,Vengeance,War,Black MC,African-American,BW/WM,East Asian MC,Indigenous MC,Latinx MC,South Asian/Desi,Southeast Asian MC,Amish,Buddhist,Christian,Hindu,Jewish,Muslim,Pagan,Sports,Baseball,Basketball,Fighting/MMA/Boxing,Football,Hockey,Ice/Figure Skating,Soccer,Highschool,College,Workplace/Office,Small Town,Western,Africa,Northern Africa,Morocco,Eastern Africa,Djibouti,Somalia,Asia,Central Asia,East Asia,South Asia,Southeast Asia,Western Asia,Isreal,Jordan,Palestine,North America,Caribbean,Bahamas,Jamaica,Central America,Costa Rica,Canada,Mexico,USA,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York State,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington D.C.,Washington State,West Virginia,Wisconsin,Wyoming,South America,Argentina,Colombia,Peru,Europe,Ireland,United Kingdom,England,Northern Ireland,Scotland,Wales,Western & Central Europe,Belgium,France,Germany,Hungary,Netherlands,Switzerland,Scandinavia,Norway,Sweden,Southern Europe,Italy,Spain,South-East Europe,Greece,Kosovo,Romania,Serbia,Eastern Europe,Belarus,Russia,Oceania,Australia,New Zealand,Cheerful/Happy Heroine,Competent Heroine,Female Rake,Grumpy/Ice Queen,Independent Heroine,Sassy Heroine,Shy Heroine,Sweet/Gentle Heroine,Take-Charge Heroine,Dangerous Heroine,Gifted/Super-Heroine,Non-Human Heroine,Poor Heroine,Rich Heroine,Single Mother,Tortured Heroine,Trans Heroine,Curvy Heroine,Plain Heroine,Tall Heroine,Aristo/Royal Heroine,Athlete Heroine,Bodyguard/Protector Heroine,Famous Heroine,Criminal Heroine,Sleuth Heroine,Teacher/Coach Heroine,Warrior Heroine,White Collar Heroine,Working Class Heroine,Bad Boys,Cruel Hero/Bully,Grumpy/Cold Hero,Himbo,Nerdy Hero,Possessive Hero,Shy Hero,Sunny/Happy Hero,Sweet/Gentle Hero,Non-Human Hero,Rich Hero,Single Father,Tortured Hero,Trans Hero,Dad-Bod Hero,Short King,Actor Hero,Athlete Hero,Biker Hero,Bodyguard/Protector Hero,CEO/Tycoon Hero,Cowboy Hero,Fighter Hero,Men in Uniform,Pirate Hero,Politician Hero,Rockstar Hero,Teacher/Coach Hero,Warlord/Commander Hero,Working Class Hero,Highlander Hero,Royal Hero,Sheik,Viking Hero,No HEA,Nontraditional HEA,Ableism,Animal Abuse,Animal Death,Eating Disorders,Fatphobia,Gambling,Graphic Violence,Human Trafficking,Mental Illness,Mental Trauma,Miscarriage/Infertility,Misogyny,Queerphobia,Racism,Religious Trauma,Self Harm,Suicide/Ideation,Terminal Illness,Torture of MCs,Torture of Side Characters,Victim Blaming,Abuse,Abuse Between MCs,Third Party Abuse,Past Abuse,Past Child Abuse,Past Child Neglect,Death/Grief,Child Death,Substance Abuse,Alcoholism,Drug Abuse,Male POV,Dual POV,First Person POV,Third Person POV,Status,Date Started,Date Finished,Total Days,TBR Placement
Imperfect ,April Wilson,,3.91,11,1,11/30,2017,30-Nov-17,Medium,311,Low Priority,1,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,Unread,,,,1033
Love at First Roar ,Celia Kyle,Grayslake  ,4.19,16,0,10/23,2014,23-Oct-14,Medium,382,Low Priority,1,5,,,,,,,,,,,,,,,,,,,,,5,,2,,5,,,,,,,2,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unread,,,,1034
A Beautiful Sight ,Sandi Lynn,Broken Hearts ,4.14,18,0,8/26,2016,26-Aug-16,Medium,280,Low Priority,1,10,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unread,,,,1035
Wild Ride ,Sam Crescent,The Soldiers of Wrath MC ,4,6,0,5/24,2017,24-May-17,Novella,125,Low Priority,1,5,,,,,,,,,,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unread,,,,1036
Through Jenna's Eyes ,Kristi Gold,,3,1,0,6/1,2007,1-Jun-07,Medium,256,Low Priority,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unread,,,,1037
Caught Up In You ,Jules Bennett,The Monroes  ,4,4,0,11/29,2016,29-Nov-16,Medium,278,Medium Priority,2,5,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unread,,,,1038
The Edge of Darkness ,Melissa Andrea,Darkness Duet  ,4.21,17,0,6/11,2013,11-Jun-13,Long,414,Low Priority,2,5,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,Unread,,,,1039
The Taming of Malcolm Grant ,Paula Quinn,The MacGregors: Highland Heirs ,3.49,14,1,9/29,2015,29-Sep-15,Medium,384,Medium Priority,2,,,7,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unread,,,,1040
Cat of a Different Color ,Dana Marie Bell,Halle Pumas  ,3.92,19,0,11/18,2008,18-Nov-08,Novella,84,Low Priority,2,5,,,,,,,,,,,,,,,,5,,,,,10,,5,,10,,,,,,,5,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,Unread,,,,1041
South of Surrender ,Laura Kaye,Hearts of the Anemoi  ,4.28,10,0,5/1,2013,1-May-13,Long,400,Low Priority,2,5,,,,,,,,,,,,,,,,,,,,,10,,10,,10,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unread,,,,1042
Blind Attraction ,Eden Summers,Reckless Beat  ,3.72,23,1,4/28,2013,28-Apr-13,Medium,257,Medium Priority,2,7,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,4,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,2,,1,,,,,,,,,,,,,6,,,,,4,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,Unread,,,,1043
Deadly Captive ,Bianca Sommerland,Deadly Captive  ,3.32,22,0,2/25,2014,25-Feb-14,Medium,326,Medium Priority,3,5,,,,,,,,,,,,9,,,,6,,,,,4,,5,,8,,,,,,,,,,,,,8,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,9,,,,,,,,,,,,,,,Unread,,,,1044
Highlander Unchained ,Donna Fletcher,Highlander Trilogy  ,4.02,17,1,12/14,2013,14-Dec-13,Medium,370,Medium Priority,2,,,7,,6,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unread,,,,1045
Seduction of a Highland Lass ,Maya Banks,McCabe Trilogy  ,4.15,112,5,9/27,2011,27-Sep-11,Medium,323,Low Priority,1,,,15,,14,,,,,,,,,,,,6,,,4,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,5,,,,12,4,,,1,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,3,6,,,,6,,,3,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,Unread,,,,1046
The Witch Collector ,Charissa Weaks,Witch Walker  ,3.74,81,17,10/14,2021,14-Oct-21,Medium,343,Medium Priority,2,,,1,,1,,,,,,,,,,2,,,,,,,14,8,,,5,15,,,,,,,,,,,,,13,,,1,,,,,,,,,2,,,,,,,,11,,,,9,,,1,1,,,,,,,,,,,,,,9,,,,,,,,2,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,6,,,,5,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,6,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,9,4,,Unread,,,,1047
God of Ruin ,Rina Kent,Legacy of Gods  ,4.05,91,11,8/31,2023,31-Aug-23,Long,420,Low Priority,2,10,,,,,,,,,,,,14,4,11,8,9,,,9,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,8,,,10,3,,,,,,,,,,,,3,,,,,,3,,10,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,1,,8,,,,,6,,,,,,,,,,,,,,,,,8,9,3,,,9,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,5,,,,,,,,,,,4,12,1,,Unread,,,,1048
Silent Vows ,Jill Ramsower,The Byrne Brothers  ,3.52,87,8,10/17,2022,17-Oct-22,Medium,350,Medium Priority,3,12,,,,,,,,,,,,9,,7,,8,,,5,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,5,,,,3,6,13,2,5,,,,5,,,,,4,,,,,,,,,2,,,,,1,13,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,2,,5,,,,,,,,,,,,,,,7,,,,,6,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,4,,,,3,,,,,1,5,2,,Unread,,,,1049
Blood Song ,Hollee Mands,Warriors of the Five Realms ,4.17,13,0,12/18,2022,18-Dec-22,Long,421,Medium Priority,2,,,4,,4,,,,,,,,2,,2,,2,,,,,4,,,,4,4,,,,4,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,,1,5,,,,2,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,1,,,,1,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,Unread,,,,1050
Stain,A.G. Howard,,4.04,19,0,1/7,2020,7-Jan-20,Long,512,Low Priority,1,,,,,,,,,,,,,,1,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unread,,,,1051
Silenced ,Serena Akeroyd,The Forgotten Boys  ,4,30,2,6/1,2023,1-Jun-23,Long,459,Medium Priority,2,8,,,,,,,,,,,,5,,3,,5,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,3,,,,,4,,,2,,,,2,,,,,8,,,,8,,,,,,,,,,,5,,,6,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,2,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,5,,8,,,,,,,,,,,,,4,,4,,,6,,,4,,7,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,3,,,,,,,,,,,3,,5,5,,,,,3,,,,6,2,,Unread,,,,1052
Court of Blood and Bindings ,Lisette Marshall,Fae Isles  ,4.12,68,8,6/22,2022,22-Jun-22,Long,436,Low Priority,2,,,4,3,,,,,,,,,,,10,,,,,,,11,,,,5,13,,,4,11,,,,,,,,,,,,4,,,,,,,,,6,,,,,,,3,11,6,,,8,,,5,,,,,,,,,,,6,1,,,8,2,,,,6,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,7,,,5,,,,5,,,11,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,Unread,,,,1053
Twisted Heathens ,J. Rose,Blackwood Institute  ,4.17,34,5,9/3,2021,3-Sep-21,Long,444,Medium Priority,2,6,,,,,,,,,,,,7,,4,3,3,,,5,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,4,,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,1,,,1,,,2,,,,,,,1,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,4,1,,,,,,4,3,,,,,4,,,,,,,,3,,,,1,2,,Unread,,,,1054
Flashed ,Zoey Castile,Happy Endings  ,4,3,1,8/27,2019,27-Aug-19,Medium,272,Low Priority,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,1,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,1,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unread,,,,1055
Hush Darling,Avery Kingston,,4.22,9,0,9/28,2020,28-Sep-20,Medium,278,Low Priority,1,3,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,3,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,Unread,,,,1056
Silent Lucidity ,Tiffany Roberts,The Infinite City  ,3.64,27,1,5/28,2019,28-May-19,Long,408,Medium Priority,3,,9,,,,,,,,,,,2,,,,1,,,1,,,,1,,1,,,,,,1,,,,,,,,,9,5,1,,,,,,,,,,,,,,,,,1,,3,,,,,,4,,,,,,,,,,,4,,,5,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,,1,,,,,,2,,2,Unread,,,,1057
Sick Heart ,J.A. Huss,Sick World  ,4.5,20,0,3/28,2021,28-Mar-21,Long,542,Medium Priority,3,,,,,,,,,,,,,4,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,1,,,,,,,Unread,,,,1058
The Undoing ,Shelly Laurenston,Call of Crows  ,4.23,37,2,3/29,2016,29-Mar-16,Long,400,Medium Priority,3,10,,,,,,,,,,,,,,,6,,,17,,,11,,12,,12,11,,,6,,,11,,,,,,,6,,,3,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,1,16,2,1,,,,,,,,,2,,,,,,,,3,,,,,,,2,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,7,,,,,,,,,,,,1,,,,,,,,,,,,6,,,,,,,,,,,,1,,1,Unread,,,,1059
